Zip Code Name,Territory: ID,Territory: Territory Name,Territory Role,
99181,a003600000IBbnF,RM - AK/WA/OR,RM,
99185,a003600000IBbnF,RM - AK/WA/OR,RM,
99201,a003600000IBbnF,RM - AK/WA/OR,RM,
99202,a003600000IBbnF,RM - AK/WA/OR,RM,
99203,a003600000IBbnF,RM - AK/WA/OR,RM,
99204,a003600000IBbnF,RM - AK/WA/OR,RM,
99205,a003600000IBbnF,RM - AK/WA/OR,RM,
99206,a003600000IBbnF,RM - AK/WA/OR,RM,
99207,a003600000IBbnF,RM - AK/WA/OR,RM,
99208,a003600000IBbnF,RM - AK/WA/OR,RM,
99209,a003600000IBbnF,RM - AK/WA/OR,RM,
99210,a003600000IBbnF,RM - AK/WA/OR,RM,
99211,a003600000IBbnF,RM - AK/WA/OR,RM,
99212,a003600000IBbnF,RM - AK/WA/OR,RM,
99213,a003600000IBbnF,RM - AK/WA/OR,RM,
99214,a003600000IBbnF,RM - AK/WA/OR,RM,
99215,a003600000IBbnF,RM - AK/WA/OR,RM,
99216,a003600000IBbnF,RM - AK/WA/OR,RM,
99217,a003600000IBbnF,RM - AK/WA/OR,RM,
99218,a003600000IBbnF,RM - AK/WA/OR,RM,
99219,a003600000IBbnF,RM - AK/WA/OR,RM,
99220,a003600000IBbnF,RM - AK/WA/OR,RM,
99223,a003600000IBbnF,RM - AK/WA/OR,RM,
99224,a003600000IBbnF,RM - AK/WA/OR,RM,
98144,a003600000IBbnF,RM - AK/WA/OR,RM,
98145,a003600000IBbnF,RM - AK/WA/OR,RM,
98146,a003600000IBbnF,RM - AK/WA/OR,RM,
98148,a003600000IBbnF,RM - AK/WA/OR,RM,
98154,a003600000IBbnF,RM - AK/WA/OR,RM,
98155,a003600000IBbnF,RM - AK/WA/OR,RM,
98158,a003600000IBbnF,RM - AK/WA/OR,RM,
98160,a003600000IBbnF,RM - AK/WA/OR,RM,
98161,a003600000IBbnF,RM - AK/WA/OR,RM,
98164,a003600000IBbnF,RM - AK/WA/OR,RM,
98165,a003600000IBbnF,RM - AK/WA/OR,RM,
98166,a003600000IBbnF,RM - AK/WA/OR,RM,
98168,a003600000IBbnF,RM - AK/WA/OR,RM,
98170,a003600000IBbnF,RM - AK/WA/OR,RM,
98174,a003600000IBbnF,RM - AK/WA/OR,RM,
98175,a003600000IBbnF,RM - AK/WA/OR,RM,
98177,a003600000IBbnF,RM - AK/WA/OR,RM,
98178,a003600000IBbnF,RM - AK/WA/OR,RM,
98181,a003600000IBbnF,RM - AK/WA/OR,RM,
98185,a003600000IBbnF,RM - AK/WA/OR,RM,
98188,a003600000IBbnF,RM - AK/WA/OR,RM,
98190,a003600000IBbnF,RM - AK/WA/OR,RM,
98191,a003600000IBbnF,RM - AK/WA/OR,RM,
98194,a003600000IBbnF,RM - AK/WA/OR,RM,
98195,a003600000IBbnF,RM - AK/WA/OR,RM,
98198,a003600000IBbnF,RM - AK/WA/OR,RM,
98199,a003600000IBbnF,RM - AK/WA/OR,RM,
98201,a003600000IBbnF,RM - AK/WA/OR,RM,
98203,a003600000IBbnF,RM - AK/WA/OR,RM,
98204,a003600000IBbnF,RM - AK/WA/OR,RM,
98206,a003600000IBbnF,RM - AK/WA/OR,RM,
98207,a003600000IBbnF,RM - AK/WA/OR,RM,
98208,a003600000IBbnF,RM - AK/WA/OR,RM,
98213,a003600000IBbnF,RM - AK/WA/OR,RM,
98220,a003600000IBbnF,RM - AK/WA/OR,RM,
98221,a003600000IBbnF,RM - AK/WA/OR,RM,
98222,a003600000IBbnF,RM - AK/WA/OR,RM,
98223,a003600000IBbnF,RM - AK/WA/OR,RM,
98224,a003600000IBbnF,RM - AK/WA/OR,RM,
98225,a003600000IBbnF,RM - AK/WA/OR,RM,
98226,a003600000IBbnF,RM - AK/WA/OR,RM,
98227,a003600000IBbnF,RM - AK/WA/OR,RM,
98228,a003600000IBbnF,RM - AK/WA/OR,RM,
98229,a003600000IBbnF,RM - AK/WA/OR,RM,
98230,a003600000IBbnF,RM - AK/WA/OR,RM,
98231,a003600000IBbnF,RM - AK/WA/OR,RM,
98232,a003600000IBbnF,RM - AK/WA/OR,RM,
98233,a003600000IBbnF,RM - AK/WA/OR,RM,
98235,a003600000IBbnF,RM - AK/WA/OR,RM,
98236,a003600000IBbnF,RM - AK/WA/OR,RM,
98237,a003600000IBbnF,RM - AK/WA/OR,RM,
98238,a003600000IBbnF,RM - AK/WA/OR,RM,
98239,a003600000IBbnF,RM - AK/WA/OR,RM,
98240,a003600000IBbnF,RM - AK/WA/OR,RM,
98241,a003600000IBbnF,RM - AK/WA/OR,RM,
98243,a003600000IBbnF,RM - AK/WA/OR,RM,
98244,a003600000IBbnF,RM - AK/WA/OR,RM,
98245,a003600000IBbnF,RM - AK/WA/OR,RM,
98247,a003600000IBbnF,RM - AK/WA/OR,RM,
98248,a003600000IBbnF,RM - AK/WA/OR,RM,
98249,a003600000IBbnF,RM - AK/WA/OR,RM,
